source	source.label	source.image	target	target.label	target.image	edge
	Maria Dorothea von Metternich Angelelli	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q233181	Anna Maria Luisa de' Medici		received portions of and persmission to distribute the infant convulsion powder of
	Maria Dorothea von Metternich Angelelli	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg		Pietro Neri Lorenzo, Marquis Angelelli	https://upload.wikimedia.org/wikipedia/commons/1/1c/249-Karl_Envallsson-Svenska_teatern_1.jpg	married to
	Pietro Neri Lorenzo, Marquis Angelelli	https://upload.wikimedia.org/wikipedia/commons/1/1c/249-Karl_Envallsson-Svenska_teatern_1.jpg	Q233181	Anna Maria Luisa de' Medici		informant of
Q2399148	Maria Vittoria of Savoy	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q233181	Anna Maria Luisa de' Medici		received infant convulsion powder from
Q2399148	Maria Vittoria of Savoy	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q2254102	Victor Amadeus of Savoy, Prince of Carigon		married to
Q2254102	Victor Amadeus, Prince of Carigon		Q7738	Louis XV, King of France		was the master of ceremonies at the court of
Q2399148	Maria Vittoria of Savoy		Q439144	Cardinal Fluery		had a close relationship with
Q2399148	Maria Vittoria of Savoy		Q455392	Louis Henri, Duke of Bourbon		had a close relationship with
Q439144	Cardinal Fluery		Q7738	Louis XV, King of France		served as the chief minister to
Q455392	Louis Henri, Duke of Bourbon		Q7738	Louis XV, King of France		was related to and served as prime minister to
	Johanna Isabella von Bouscheidt	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q233181	Anna Maria Luisa de' Medici		received infant convulsion powder from
	Johanna Isabella von Bouscheidt	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg		Caspar Franz Edmund von Bourscheidt	https://upload.wikimedia.org/wikipedia/commons/1/1c/249-Karl_Envallsson-Svenska_teatern_1.jpg	married to
	Caspar Franz Edmund von Bourscheidt	https://upload.wikimedia.org/wikipedia/commons/1/1c/249-Karl_Envallsson-Svenska_teatern_1.jpg	Q62594	Charles III Philip, Elector Palatine		member of the court of
	Baroness Massimiliana von Moltke	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q233181	Anna Maria Luisa de' Medici		received portions of and persmission to distribute the infant convulsion powder of
	Baroness Massimiliana von Moltke	https://upload.wikimedia.org/wikipedia/commons/a/ab/Bernhard_Albrecht_Moll_His_Crippled_Sister_Eleonore.jpg	Q150665	Charles VI, Holy Roman Emperor		member of the court of
